African Christian Democratic Party | ACDP | Kenneth Meshoe
African Nation Congress | ANC | Jacob Zuma
Congress of the People | COPE | Musiuoa
Democratic Alliance | DA | Musi Maimane
Economic Freedom Fighters | EFF | Julius Malema
Freedom Front Plus | FF+ | Pieter Mulder
Inkhata Freedom Party | IFP | Mangosuthu Buthlezi
National Freedom Party | NFP | Zanele kaMagwaza-Msibi
Pan-Africanist Congress of Azania | PAC | Alton Mphethi
United Christian Democratic Party | UCDP | Isaac Sipho Mfundisi
United Democratic Movement | UDM | Bantu Holomisa
Azanian People's Organisation | AZAPO | Jacob Dikobo
Agang South Africa | Agang | Mamphela Ramphele
African People's Convention | APC | Themba Godi
